_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2021,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry
117,,Royal Ontario Museum,Museum,416-586-8000,,https://www.rom.on.ca/en,30022473,,30022473,100,Queen's Park,100 Queen's Park,M5S 2C6,former Toronto,Toronto,,107008,8408484,100,,,,11267,University-Rosedale,20,11,3268694,"Canadas largest museum of natural history and world cultures, presents engaging galleries of art, archaeology, and natural science from around the world.",Y,"{""coordinates"": [[-79.39479, 43.66771]], ""type"": ""MultiPoint""}"
118,,Sankofa Square (formerly known as Yonge-Dundas Square),Landmark,416-979-9960,,https://www.sankofasquare.ca/,14229809,,14229809,1,Dundas St E,1 Dundas St E,M5B 2L6,former Toronto,Toronto,,106001,7641732,1,,,,3334,Toronto Centre,27,13,3149860,"Yonge-Dundas Square is one of the city's largest public squares. It is located directly across from the Toronto Eaton Centre. The square is home to free movie screenings, concerts, shows and exhibits.",Y,"{""coordinates"": [[-79.38043, 43.65593]], ""type"": ""MultiPoint""}"
119,4th Floor,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,416-631-5689,,https://www.holocaustcentre.com/,487321,,487321,4588,Bathurst St,4588 Bathurst St,M2R 1W6,North York,Toronto,,104008,439530,4600,,,,436,York Centre,10,6,3154829,"The Sarah and Chaim Neuberger Holocaust Education Centre provides all its visitors a complete understanding of the Holocaust.30, 000 students pass through its doors during educational trips.",N,"{""coordinates"": [[-79.44186, 43.76411]], ""type"": ""MultiPoint""}"
120,,Scarborough Museum,Museum,416-338-8807,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/scarborough-museum/,13967651,,13967651,1007,Brimley Rd,1007 Brimley Rd,M1P 3E8,Scarborough,Toronto,,107008,30039278,1007,,,,7435,Scarborough Centre,38,21,3301567,The Scarborough Museum and its gardens are located within Thomson Memorial Park.It is one of 10 museums operated by the City of Toronto.The Museum looks back on the story of Scarborough's roots and history.,Y,"{""coordinates"": [[-79.25482, 43.75761]], ""type"": ""MultiPoint""}"
121,,Scarborough Village Theatre,Performing Arts,416-267-9292,,https://theatrescarborough.com/,5045390,,5045390,3600,Kingston Rd,3600 Kingston Rd,M1M 1R9,Scarborough,Toronto,Scarborough Village Recreation Centre - Building Grounds,106007,5041127,3600,,,,3786,Scarborough-Guildwood,36,24,3838356,"Theatre Scarborough is an umbrella organization consisting of Scarborough Music Theatre, Scarborough Players, and Scarborough Theatre Guild. Performances take place at the Scarborough Village Community Centre.",Y,"{""coordinates"": [[-79.21692, 43.73983]], ""type"": ""MultiPoint""}"
122,,Scotiabank Arena,Sports / Entertainment Venue,416-815-5982,,https://www.scotiabankarena.com/,7929257,,7929257,40,Bay St,40 Bay St,M5J 2X2,former Toronto,Toronto,Scotiabank Arena,107010,7929256,40,,,,2962,Spadina-Fort York,28,10,3176821,"The Scotiabank Arena is a multi-purpose indoor sporting arena and concert venue. It is the home of the Toronto Maple Leafs Hockey Club, the Toronto Raptors basketball team, and the Toronto Rock Lacrosse team.",Y,"{""coordinates"": [[-79.3791, 43.64346]], ""type"": ""MultiPoint""}"
123,None,Soulpepper Theatre Company,Performing Arts,416-866-8666,None,https://www.soulpepper.ca/,,None,,50,Tank House Lane,50 Tank House Lane,M5A 3C4,former Toronto,Toronto,None,,,,None,None,None,,Spadina-Fort York,20,10,,Soulpepper is a not-for-profit theatre company that offers plays and concerts with a focus on training and youth projects.,None,"{""coordinates"": [[-79.352772, 43.65084]], ""type"": ""MultiPoint""}"
124,,Spadina Museum,Museum,416-392-6910,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/spadina-museum/,7986457,,7986457,285,Spadina Rd,285 Spadina Rd,M5R 2V5,former Toronto,Toronto,Spadina Museum - Historic House And Gardens - Building Grounds,107008,7986453,285,,,,4428,Toronto-St. Paul's,22,12,3838338,"Operated by the City of Toronto, the Spadina Museum is a historic manor house that allows visitors to learn about the history and architecture of  late 19th century to early 20th century Toronto.",Y,"{""coordinates"": [[-79.40818, 43.67898]], ""type"": ""MultiPoint""}"
125,,St. James Park,Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/408/index.html,8344747,,8344747,120,King St E,120 King St E,M5C 1G6,former Toronto,Toronto,,106001,30097829,120,,,,3779,Toronto Centre,28,13,4238743,"A large green space, home to a Victorian garden, live performances, and is a popular spot for photos. The park is adjacent to historic St. James Cathedral.",Y,"{""coordinates"": [[-79.37306, 43.65083]], ""type"": ""MultiPoint""}"
126,,St. Lawrence Centre for the Arts,Performing Arts,416-366-1656,,https://tolive.com/Home-Page,8351140,,8351140,27,Front St E,27 Front St E,M5E 1B4,former Toronto,Toronto,,115001,14254949,27,,,,3471,Toronto Centre,28,13,3128630,"Home to  two theatres, the Bluma Appel Theatre and the Jane Mallett Theatre, the St. Lawrence Centre for the Arts is the home to various artistic and public events.",Y,"{""coordinates"": [[-79.37531, 43.64753]], ""type"": ""MultiPoint""}"
127,,St. Lawrence Market and Market Gallery,Attraction,416-392-7220,,http://www.stlawrencemarket.com/,11075763,,11075760,93,Front St E,93 Front St E,M5E 1C3,former Toronto,Toronto,,115001,11075761,95,,,,3471,Toronto Centre,28,13,1977101,"Voted best fresh food market in the world by National Geographic in 2012, Torontos historic and premier market also includes The Market Gallery, housed within part of Torontos original 19th century City Hall.",Y,"{""coordinates"": [[-79.37156, 43.6487]], ""type"": ""MultiPoint""}"
128,,Steam Whistle Brewery,Attraction,416-362-2337,,https://steamwhistle.ca/,30022193,,14172191,255,Bremner Blvd,255 Bremner Blvd,M5V 3M9,former Toronto,Toronto,Roundhouse Park,115001,13975104,255,,,,11078,Spadina-Fort York,20,10,3836923,"A microbrewery located in downtown Toronto, Steam Whistle Brewery produces a premium pale lager composed of only four ingredients.",Y,"{""coordinates"": [[-79.3857, 43.64067]], ""type"": ""MultiPoint""}"
129,,Sugar Beach Park,Nature/ Park,416-396-7378,,https://www.toronto.ca/data/parks/prd/facilities/complex/2261/index.html,30017889,,30017889,11,Dockside Dr,11 Dockside Dr,M5A 0B6,former Toronto,Toronto,,106001,30068335,11,,,,19432,Spadina-Fort York,28,10,4163708,Sugar Beach is one of Toronto's urban beach parks. Famous for its pink umbrellas and Muskoka chairs.,Y,"{""coordinates"": [[-79.36743, 43.6429]], ""type"": ""MultiPoint""}"
130,,Sunnyside Beach,Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/394/index.html,6814671,,6814671,1755,Lake Shore Blvd W,1755 Lake Shore Blvd W,M6S 5A3,former Toronto,Toronto,Sunnyside Park,106001,30021714,1755,,,,1962,Parkdale-High Park,13,4,3025447,"One of Toronto's designated swimming beaches, Sunnyside Beach provides rowers and paddlers calm waters with an offshore break wall.",Y,"{""coordinates"": [[-79.45703, 43.63738]], ""type"": ""MultiPoint""}"
131,,Taras H. Shevchenko Museum,Museum,416-534-8662,,https://www.shevchenko.ca/,11394912,,11394917,1604,Bloor St W,1604 Bloor St W,M6P 1A7,former Toronto,Toronto,,115001,14041669,1614,,,,458,Parkdale-High Park,14,4,4126953,The Taras H. Shevchenko Museum is the home to  exhibitions dedicated to the contribution of Ukrainians in Canada and the life of famed writer Taras Shevchenko.,N,"{""coordinates"": [[-79.45524, 43.65599]], ""type"": ""MultiPoint""}"
132,,Tarragon Theatre,Performing Arts,416-531-1827,,https://tarragontheatre.com/,7994659,,7994659,30,Bridgman Ave,30 Bridgman Ave,M5R 1X3,former Toronto,Toronto,,107002,7994658,30,,,,3060,Toronto-St. Paul's,21,12,2754414,The Tarragon Theatre is a performing arts centre  notable for the development of playwrights. Over 170 works have premiered at the theatre.,Y,"{""coordinates"": [[-79.41287, 43.67494]], ""type"": ""MultiPoint""}"
133,,Textile Museum of Canada,Museum,416-599-5321,,https://textilemuseum.ca/,7792171,,7792171,55,Centre Ave,55 Centre Ave,M5G 2H5,former Toronto,Toronto,,100001,7792167,55,,,,9796,Spadina-Fort York,27,10,2976162,"With more than 13,000 objects from more than 200 countries and regions, the Textile Museum of Canada celebrates cultural diversity through traditional fabrics, garments, carpets and related artifacts such as beadwork and basketry.",Y,"{""coordinates"": [[-79.38674, 43.65447]], ""type"": ""MultiPoint""}"
134,Located in St. Andrew's Presbyterian Church,The 48th Highlanders Museum,Museum,416-596-1382,,https://museum.48thhighlanders.ca/,868441,,868441,73,Simcoe St,73 Simcoe St,M5J 1W9,former Toronto,Toronto,,100001,1146180,73,,,,4411,Spadina-Fort York,20,10,2235601,"This museum is dedicated to one of Canada's famous military regiments. The museum holds historical artifacts dating from Victorian Toronto in 1891, when the 48th Highlanders was formed, to the present day.",N,"{""coordinates"": [[-79.38571, 43.64735]], ""type"": ""MultiPoint""}"
135,,The Danforth Music Hall,Performing Arts,416-778-8163,,http://thedanforth.com/,14075977,,14075977,147,Danforth Ave,147 Danforth Ave,M4K 1N2,former Toronto,Toronto,,115001,11046582,147,,,,86,Toronto-Danforth,30,14,2653715,"The Music Hall boasts new theatre seats, state-of-art sound and lighting and a completely renovated backstage area.",Y,"{""coordinates"": [[-79.357, 43.67623]], ""type"": ""MultiPoint""}"
136,(Mill Street and Parliament),The Distillery Historic District,Landmark,647-693-4646,,https://www.thedistillerydistrict.com/,30031582,,30031582,55,Mill St,55 Mill St,M5A 3C4,former Toronto,Toronto,,115001,1145341,55,,,,9816,Spadina-Fort York,28,10,3231660,"A pedestrian-only historic area that represents the largest and best preserved collection of Victorian Industrial Architecture in North America. The refurbished warehouses are now home to restaurants, bars, galleries, studios, and a theatre.",Y,"{""coordinates"": [[-79.35915, 43.65024]], ""type"": ""MultiPoint""}"
137,,The Image Centre (formerly known as Ryerson Image Centre),Gallery,416-979-5164,,https://theimagecentre.ca/,30022231,,30022231,33,Gould St,33 Gould St,M5B 1E9,former Toronto,Toronto,,104008,7641727,33,,,,3563,Toronto Centre,27,13,3029307,"The RIC is dedicated to the public exhibition, research, study and teaching of photography including, installation art and film and media.",Y,"{""coordinates"": [[-79.37938, 43.65769]], ""type"": ""MultiPoint""}"
138,,The Japan Foundation,Museum,416-966-1600,,https://tr.jpf.go.jp/,8535820,,8535820,2,Bloor St E,2 Bloor St E,M4W 1A8,former Toronto,Toronto,,107010,30018013,2,,,,3020,University-Rosedale,27,11,3005179,A cultural establishment aiming towards effective development of its international cultural exchange programs in Japanese arts and cultural exchange.,N,"{""coordinates"": [[-79.38651, 43.6708]], ""type"": ""MultiPoint""}"
139,,The Power Plant Contemporary Art Gallery,Gallery,416-973-4949,,http://www.thepowerplant.org/,20141759,,20141759,231,Queens Quay W,231 Queens Quay W,M5J 2G8,former Toronto,Toronto,,107002,14134888,231,,,,4244,Spadina-Fort York,20,10,2585330,"Dedicated to contemporary art, the Power Plant is a free public gallery located at the Harbourfront Centre.",N,"{""coordinates"": [[-79.38187, 43.63847]], ""type"": ""MultiPoint""}"
140,,The Second City,Performing Arts,1-800-896-8120,,https://www.secondcity.com/toronto/,20040556,,20040556,1,York St,1 York St,M5J 0B6,former Toronto,Toronto,,107002,30059744,51,,,,3980,Spadina-Fort York,20,10,3795500,Second City produces premiere comedy performances and operates a training centre.,Y,"{""coordinates"": [[-79.38037, 43.64157]], ""type"": ""MultiPoint""}"
141,,The Theatre Centre,Performing Arts,416-538-0988,,http://theatrecentre.org/,856913,,856913,1115,Queen St W,1115 Queen St W,M6J 1J1,former Toronto,Toronto,,104008,1146609,1115,,,,4238,Davenport,18,9,2475980,"The Theatre Centre supports artists who wish to develop works of an experimental or alternative nature. All their artists embrace the visual arts, music, dance and new media.",N,"{""coordinates"": [[-79.42327, 43.643]], ""type"": ""MultiPoint""}"
142,,The Village Players,Performing Arts,416-767-7702,,http://www.villageplayers.net/,13973721,,13973721,2190,Bloor St W,2190 Bloor St W,M6S 1N3,former Toronto,Toronto,,112001,10250117,2190,,,,458,Parkdale-High Park,13,4,2188628,"The Village Playhouse a non-profit theatre group that opened its doors in 1974 and has since produced plays such as Cat on a Hot Tin Roof, Amadeus and Dial 'M' For Murder.",N,"{""coordinates"": [[-79.47476, 43.65171]], ""type"": ""MultiPoint""}"
143,None,The Well,Landmark,416-203-7777,None,https://thewelltoronto.com/,,None,,486,Front St W,486 Front St W,M5V 0V2,former Toronto,Toronto,None,,,,None,None,None,,Spadina-Fort York,20,10,,"The Well opened in 2023, offering diverse dining experiences, retail stores and unique architecture.",None,"{""coordinates"": [[-79.39579, 43.64279]], ""type"": ""MultiPoint""}"
144,,Theatre Passe Muraille,Performing Arts,416-504-7529,,http://passemuraille.ca/,8031682,,8031682,16,Ryerson Ave,16 Ryerson Ave,M5T 2P3,former Toronto,Toronto,,115001,14019423,16,,,,4350,Spadina-Fort York,20,10,2276519,Theatre Passe Muraille was Canadas original alternative theatre company. 600 Canadian plays have been produced since the company was founded in 1968.,Y,"{""coordinates"": [[-79.4025, 43.64856]], ""type"": ""MultiPoint""}"
145,,Thompson Landry Gallery - Stone Building & Cooperage Space,Gallery,416-364-4955,,http://www.thompsonlandry.com/,30032130,,30032108,32,Distillery Lane,32 Distillery Lane,M5A 3C4,former Toronto,Toronto,,115001,30029419,6,,,,4574,Spadina-Fort York,20,10,3232766,"The Thompson Landry Gallery is spread out over 6,000 square feet and showcases artwork from internationally acclaimed contemporary Quebec artists. The gallery opened in 2009 and is situated within the Distillery District's Cooperage Building.",N,"{""coordinates"": [[-79.36019, 43.64974]], ""type"": ""MultiPoint""}"
146,,TIFF Bell Lightbox,Landmark,416-599-2033,,https://www.tiff.net/,14659357,,14659357,350,King St W,350 King St W,M5V 3X5,former Toronto,Toronto,,104008,10458506,350,,,,3780,Spadina-Fort York,20,10,1604772,"The TIFF Bell Lightbox is the home of the Toronto International Film Festival and a year-round destination for unique screenings, themed festivals, and exhibitions. It also houses two restaurants.",Y,"{""coordinates"": [[-79.3905, 43.64654]], ""type"": ""MultiPoint""}"
147,,Todmorden Mills Heritage Site,Landmark,416-396-2819,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/todmorden-mills/,10833995,,10833995,67,Pottery Rd,67 Pottery Rd,M4K 2B9,East York,Toronto,Todmorden Mills Park,107008,10833994,67,,,,293,Toronto-Danforth,29,14,4138865,Todmorden Mills Heritage Site is situated within the Don Valley and is located beside a 9.2 hectare wildflower preserve. It features historic buildings such as the Brewery building and the Papermill theatre and gallery.,Y,"{""coordinates"": [[-79.36024, 43.68647]], ""type"": ""MultiPoint""}"
148,,Tommy Thompson Park,Nature/ Park,416-661-6600,,https://tommythompsonpark.ca/,13366891,,13366891,1,Leslie St,1 Leslie St,M4M 3M2,former Toronto,Toronto,,106001,13366892,1,,,,225,Toronto-Danforth,32,14,3029400,"This narrow peninsula park is a perfect place for hiking, jogging, cycling and birdwatching, with 10km of paved trails.",Y,"{""coordinates"": [[-79.32487, 43.63519]], ""type"": ""MultiPoint""}"
149,,Toronto Botanical Gardens and Edwards Gardens,Nature/ Park,416-397-1341,,https://torontobotanicalgarden.ca/,20015330,,20015330,777,Lawrence Ave E,777 Lawrence Ave E,M3C 1P2,North York,Toronto,Edwards Gardens (Civic Garden Centre),106001,11541583,777,,,,3828,Don Valley West,25,15,2803401,"Located at the stunning Edwards Gardens, Toronto Botanical Garden features award-winning themed gardens and an indoor education/interpretation facility.",Y,"{""coordinates"": [[-79.35817, 43.73415]], ""type"": ""MultiPoint""}"
150,,Toronto City Hall and Nathan Phillips Square,Landmark,416-392-2489,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-city-facilities/city-hall/,856375,,856375,100,Queen St W,100 Queen St W,M5H 2N1,former Toronto,Toronto,,104001,1145216,100,,,,4238,Spadina-Fort York,27,10,3838404,"Toronto's City Hall is one of Toronto's best known and visited landmarks. Nathan Phillips Square located directly in front of City Hall, is the site of  the iconic Toronto sign, concerts, farmers' markets, and iconic events.",Y,"{""coordinates"": [[-79.38369, 43.65303]], ""type"": ""MultiPoint""}"
151,,Toronto Congress Centre,Convention & Trade Centres,416-245-5000,,https://www.torontocongresscentre.com/,11047976,,11047976,650,Dixon Rd,650 Dixon Rd,M9W 1J1,Etobicoke,Toronto,,115001,11047975,650,,,,1470,Etobicoke North,2,1,2028111,"The Toronto Congress Centre opened in 1995 and now features over 1 million square feet of space for galas, meetings, trade shows and conventions,",Y,"{""coordinates"": [[-79.57834, 43.69238]], ""type"": ""MultiPoint""}"
152,Approximate address - Located on Toronto Island - take ferry from Jack Layton Ferry Terminal to Centre Island,Toronto Island Park,Nature/ Park,416-392-2489,,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/,14258203,,14258203,1,Centre Island Pk,1 Centre Island Pk,,former Toronto,Toronto,,106001,1147832,1,,,,17507,Spadina-Fort York,28,10,4061641,"The Toronto Island Park is North America's largest car free neighbourhood and is only a short ferry ride away from downtown Toronto. The park is features several attractions, beaches, restaurants, bike and boat rentals and plenty of open green space.",Y,"{""coordinates"": [[-79.37469, 43.62256]], ""type"": ""MultiPoint""}"
153,,Toronto Metropolitan University Theatre (formerly known as Ryerson Theatre),Performing Arts,416-979-5009,,https://www.torontomu.ca/performance/,7641981,,7641981,43,Gerrard St E,43 Gerrard St E,M5G 2A7,former Toronto,Toronto,,115001,7642005,43,,,,3495,Toronto Centre,27,13,3091475,"Ryerson Theatre is home to various productions which includes concerts, film presentations, and Ryerson Theatre and Fashion Schools productions.",N,"{""coordinates"": [[-79.37993, 43.65929]], ""type"": ""MultiPoint""}"
154,,Toronto Music Garden,Nature/ Park,416-973-4000,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1707&title=Toronto-Music-Garden,13971630,,13971630,479,Queens Quay W,479 Queens Quay W,M5V 3M8,former Toronto,Toronto,,106001,14130670,479,,,,4244,Spadina-Fort York,20,10,4156403,The Toronto Music Garden is situated on Toronto's newly revamped waterfront. The garden was designed by landscape designer Julie Moir Messervy and by the cellist Yo Yo Ma.,Y,"{""coordinates"": [[-79.3943, 43.63694]], ""type"": ""MultiPoint""}"
155,,Toronto Pearson International Airport,Transportation,416-247-7678,,https://www.torontopearson.com/en,,,,6301,Silver Dart Dr,6301 Silver Dart Dr,L5P 1B2,,Mississauga,,,,,,,,,,,,,Canadas busiest airport with flights to over 180 destinations around the globe.,Y,"{""coordinates"": [[-79.6285, 43.67983]], ""type"": ""MultiPoint""}"
156,,Toronto Police Museum & Discovery Centre,Museum,416-808-7020,,https://www.tps.ca/museum/,7762664,,7762664,40,College St,40 College St,M5G 2J3,former Toronto,Toronto,Toronto Police Service Hq,103003,14020372,40,,,,9765,Toronto Centre,27,13,2561688,"The Toronto Police Museum & Discovery Centre occupies 3,000 square feet within the Police Headquarters building on College Street. The museum solely relies on private donations and is a not for profit registered charity.",N,"{""coordinates"": [[-79.38482, 43.66122]], ""type"": ""MultiPoint""}"
157,,Toronto Railway Museum,Museum,416- 214-9229,,https://torontorailwaymuseum.com/,30022193,,14172191,255,Bremner Blvd,255 Bremner Blvd,M5V 3M9,former Toronto,Toronto,Roundhouse Park,115001,13975104,255,,,,11078,Spadina-Fort York,20,10,3836923,"The Toronto Railway Museum encompasses the Canadian Pacific Railway John Street Roundhouse at Roundhouse Park and features a restored turntable, a number of trains and the 1896 Canadian Pacific Don Station.",Y,"{""coordinates"": [[-79.38595, 43.64071]], ""type"": ""MultiPoint""}"
158,,Toronto Reference Library,Landmark,416-395-5577,,https://www.torontopubliclibrary.ca/torontoreferencelibrary/,8677433,,8677433,789,Yonge St,789 Yonge St,M4W 2G8,former Toronto,Toronto,Toronto Reference Public Library,107009,8677431,789,,,,4733,University-Rosedale,27,11,3006667,The Toronto Reference Library is situated in a 5 storey building within the Yorkville neighbourhood. It is the largest public reference library in Canada.,N,"{""coordinates"": [[-79.38682, 43.67179]], ""type"": ""MultiPoint""}"
159,,Toronto Sculpture Garden,Featured Park,647-458-5657,,https://www.toronto.ca/explore-enjoy/history-art-culture/public-art/public-art-monuments-collection/comp-sculpture-garden/,8344741,,8344741,115,King St E,115 King St E,M5C 1G6,former Toronto,Toronto,"Toronto Sculpture Garden,Church - King Parkette",115001,30097820,115,,,,3779,Toronto Centre,28,13,4238726,Since 1981 this small urban park has featured contemporary sculpture installations by various artists.,N,"{""coordinates"": [[-79.37366, 43.64984]], ""type"": ""MultiPoint""}"
160,(by the Skywalk),Toronto Tourist Information Centre,Visitor Information,416-392-9300,,https://www.toronto.ca/explore-enjoy/visitor-services/tourist-information-centres/,10864313,,10864313,65,Front St W,65 Front St W,M5J 1E6,former Toronto,Toronto,,115001,10864309,65,,,,3472,Spadina-Fort York,28,10,2350095,"The Toronto Tourist Information Centre provides travel advice and information to all its customers. Services include free Wi-Fi service, brochures and souvenirs. Located at the entrance to the Skywalk.",Y,"{""coordinates"": [[-79.38178, 43.64482]], ""type"": ""MultiPoint""}"
161,,Toronto Zoo,Attraction,416-392-5900,,https://www.torontozoo.com/,6349687,,6349687,2000,Meadowvale Rd,2000 Meadowvale Rd,M1B 5W8,Scarborough,Toronto,,106001,6349684,2000,,,,8470,Scarborough-Rouge Park,42,25,2128998,"The Toronto Zoo is one of the largest zoos in the world at 287 hectares (710 acres) and is known for interactive education and conservation activities. It is currently home to 2 giant pandas, and more than 5,000 animals representing over 500 species.",Y,"{""coordinates"": [[-79.18229, 43.82034]], ""type"": ""MultiPoint""}"
162,,Toronto's First Post Office,Museum,416-865-1833,,http://www.townofyork.com/,14194698,,14194698,260,Adelaide St E,260 Adelaide St E,M5A 1N1,former Toronto,Toronto,,104008,8353507,260,,,,2851,Toronto Centre,28,13,2932547,Toronto's First Post Office acts as a museum but also continues to operate as a full service Canada Post office. Admission to the museum is by donation.,Y,"{""coordinates"": [[-79.3704, 43.6519]], ""type"": ""MultiPoint""}"
163,,Travellers' Aid Society of Toronto,Visitor Information,416-366-7788,,https://www.travelersaid.org/blog/tai-members/travellers-aid-toronto/,10864313,,10864313,65,Front St W,65 Front St W,M5J 1E6,former Toronto,Toronto,,115001,10864309,65,,,,3472,Spadina-Fort York,28,10,2350095,Travellers' Aid Society of Toronto operates two desks; one at Pearson International Airport and the other within Union Station's grand hall. They offer free services to the general travelling public.,Y,"{""coordinates"": [[-79.38061, 43.64522]], ""type"": ""MultiPoint""}"
164,None,Trinity Square,Landmark,416-392-2489,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=238,,None,,19,Trinity Sq,19 Trinity Sq,M5G 1B1,former Toronto,Toronto,None,,,,None,None,None,,Toronto Centre,27,13,,"Located in between the Toronto Eaton Centre and Old City Hall, the park features a fountain, ornamental pond, a labryrinth and seating; the park is a hotspot for music and events.",None,"{""coordinates"": [[-79.38162, 43.6547]], ""type"": ""MultiPoint""}"
165,,Ukrainian Museum of Canada,Museum,416-923-9861,,http://umcontario.com/,870140,,870140,620,Spadina Ave,620 Spadina Ave,M5S 2H4,former Toronto,Toronto,,102008,1143508,620,,,,4426,University-Rosedale,20,11,1870749,"The Ukrainian Museum of Canada features over 4,000 artifacts. These artifacts include prints, coins, maps jewellery, textiles and historic costumes.",N,"{""coordinates"": [[-79.4021, 43.66198]], ""type"": ""MultiPoint""}"
166,,Union Station,Transportation,416-392-2489,,https://torontounion.ca/,10864313,,10864313,65,Front St W,65 Front St W,M5J 1E6,former Toronto,Toronto,,115001,10864309,65,,,,3472,Spadina-Fort York,28,10,2350095,"Union Station is the busiest transportation hub in all of Canada. It serves more than 250,000 passengers daily. Via Rail, the TTC, Go Transit and Amtrak all operate out of the station",Y,"{""coordinates"": [[-79.38042, 43.64532]], ""type"": ""MultiPoint""}"
167,,Union Station Bus Terminal,Transportation,416-874-5900,,https://www.gotransit.com/en/find-a-station/un/un-new-union-station-bus-terminal-usbt-at-cibc-square,,,,81,Bay,81 Bay St,M5E 1Z8,former Toronto,Toronto,,,,,None,None,None,,Spadina-Fort York,28,10,,The bus terminal is the intercity transportation hub in Toronto.,None,"{""coordinates"": [[-79.37752, 43.64401]], ""type"": ""MultiPoint""}"
168,,Village at Black Creek (Black Creek Pioneer Village),Museum,416-736-1733,,https://blackcreek.ca/,544620,,544620,1000,Murray Ross Pkwy,1000 Murray Ross Pkwy,M3J 2P3,North York,Toronto,,107008,30091481,1000,,,,6264,Humber River-Black Creek,8,7,4190714,"Become immersed in the lifestyles, customs, and surroundings of early residents who built the foundations for modern Toronto and Ontario at this 30-acre site.",Y,"{""coordinates"": [[-79.51507, 43.7726]], ""type"": ""MultiPoint""}"
169,,Village of Yorkville Park,Nature/ Park,416-338-4386,,https://www.bloor-yorkville.com/village-yorkville-park-green-space-gem/,9544521,,9544521,115,Cumberland St,115 Cumberland St,M5R 1A6,former Toronto,Toronto,,115001,30074461,115,,,,3247,University-Rosedale,27,11,4089089,"The Village of Yorkville Park was built on the site of a former parking lot, in the heart of the Bloor Yorkville neighbourhood. The main focal point of the park is the rock which weighs 650 tonnes and is approximately 1 billion years old.",Y,"{""coordinates"": [[-79.39168, 43.67002]], ""type"": ""MultiPoint""}"
170,Approximate address - Located on Toronto Island - take ferry from 9 Queen's Quay West to Ward's Island,Ward's Island Beach,Nature/ Park,416-396-7378,,http://app.toronto.ca/tpha/beach/6.html,3814227,,3814227,40,Lakeshore Ave,40 Lakeshore Ave,M5J 1X8,former Toronto,Toronto,,100001,3814229,40,,,,3802,Spadina-Fort York,28,10,4162701,"Ward's Island beach is located on the most Eastern part of the Toronto Islands. It features a residential neighbourhood, 2 restaurants, a beach and boardwalk.",Y,"{""coordinates"": [[-79.35224, 43.63002]], ""type"": ""MultiPoint""}"
171,,Winchester Street Theatre,Performing Arts,None,,https://ttdf.ca/,883562,,883562,80,Winchester St,80 Winchester St,M4X 1B2,former Toronto,Toronto,,112001,1142715,80,,,,4697,Toronto Centre,28,13,1907712,The Winchester Street Theatre is owned and jointly operated by the Toronto Dance Theatre and the School of Toronto Dance Theatre. The venue features rake seating and a stage that best showcases dance performances.,N,"{""coordinates"": [[-79.36711, 43.66635]], ""type"": ""MultiPoint""}"
172,,Woodbine Beach,Nature/ Park,416-396-7378,,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,7650406,,7650406,1675,Lake Shore Blvd E,1675 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,Woodbine Beach Park,106001,13973014,1675,,,,3803,Beaches-East York,32,19,4149245,Woodbine Beach is one of the city's main beaches. The park is located over 15.2 hectares.  Features include the Martin Goodman Trail and the Donald D. Summerville Outdoor Olympic Pool.,Y,"{""coordinates"": [[-79.30709, 43.66181]], ""type"": ""MultiPoint""}"
173,,Woodbine Racetracks,Attraction,416-675-7223,,https://woodbine.com/,1027360,,1027360,555,Rexdale Blvd,555 Rexdale Blvd,M9W 7G3,Etobicoke,Toronto,,106005,907820,555,,,,2361,Etobicoke North,2,1,1492665,Offers both Standardbred and Thoroughbred racing and hosts many prominent events (including the Queens Plate)throughout the year.,Y,"{""coordinates"": [[-79.60412, 43.71446]], ""type"": ""MultiPoint""}"
